id_pergunta,modelo_avaliado,nota_j1,nota_j2,divergencia,usou_recurso,nota_final,justificativa_final
112,phi-3-mini,0.0,0.0,0.0,False,0.0,Consenso entre juízes iniciais.
112,qwen2-1.5b,0.0,0.0,0.0,False,0.0,Consenso entre juízes iniciais.
112,tinyllama-1.1b,0.0,0.0,0.0,False,0.0,Consenso entre juízes iniciais.
113,phi-3-mini,0.0,0.0,0.0,False,0.0,Consenso entre juízes iniciais.
113,qwen2-1.5b,0.0,0.0,0.0,False,0.0,Consenso entre juízes iniciais.
113,tinyllama-1.1b,0.0,0.0,0.0,False,0.0,Consenso entre juízes iniciais.
114,phi-3-mini,0.0,0.0,0.0,False,0.0,Consenso entre juízes iniciais.
114,qwen2-1.5b,0.0,0.0,0.0,False,0.0,Consenso entre juízes iniciais.
114,tinyllama-1.1b,0.0,0.0,0.0,False,0.0,Consenso entre juízes iniciais.
115,phi-3-mini,0.0,0.0,0.0,False,0.0,Consenso entre juízes iniciais.
115,qwen2-1.5b,0.0,0.0,0.0,False,0.0,Consenso entre juízes iniciais.
115,tinyllama-1.1b,0.0,0.0,0.0,False,0.0,Consenso entre juízes iniciais.
116,phi-3-mini,0.0,0.0,0.0,False,0.0,Consenso entre juízes iniciais.
116,qwen2-1.5b,0.0,0.0,0.0,False,0.0,Consenso entre juízes iniciais.
116,tinyllama-1.1b,0.0,0.0,0.0,False,0.0,Consenso entre juízes iniciais.
117,phi-3-mini,0.0,0.0,0.0,False,0.0,Consenso entre juízes iniciais.
117,qwen2-1.5b,0.0,0.0,0.0,False,0.0,Consenso entre juízes iniciais.
117,tinyllama-1.1b,0.0,0.0,0.0,False,0.0,Consenso entre juízes iniciais.
118,phi-3-mini,0.0,0.0,0.0,False,0.0,Consenso entre juízes iniciais.
118,qwen2-1.5b,0.0,0.0,0.0,False,0.0,Consenso entre juízes iniciais.
118,tinyllama-1.1b,0.0,0.0,0.0,False,0.0,Consenso entre juízes iniciais.
