id_pergunta,erro_raw,nota_final
107,"Erro API HF: 404 - <!DOCTYPE html>
<html lang=""en"">
<head>
<meta charset=""utf-8"">
<title>Error</title>
</head>
<body>
<pre>Cannot POST /models/mistralai/Mistral-7B-Instruct-v0.3</pre>
</body>
</html>
",0.0
107,"Erro API HF: 404 - <!DOCTYPE html>
<html lang=""en"">
<head>
<meta charset=""utf-8"">
<title>Error</title>
</head>
<body>
<pre>Cannot POST /models/mistralai/Mistral-7B-Instruct-v0.3</pre>
</body>
</html>
",0.0
107,"Erro API HF: 404 - <!DOCTYPE html>
<html lang=""en"">
<head>
<meta charset=""utf-8"">
<title>Error</title>
</head>
<body>
<pre>Cannot POST /models/mistralai/Mistral-7B-Instruct-v0.3</pre>
</body>
</html>
",0.0
108,"Erro API HF: 404 - <!DOCTYPE html>
<html lang=""en"">
<head>
<meta charset=""utf-8"">
<title>Error</title>
</head>
<body>
<pre>Cannot POST /models/mistralai/Mistral-7B-Instruct-v0.3</pre>
</body>
</html>
",0.0
108,"Erro API HF: 404 - <!DOCTYPE html>
<html lang=""en"">
<head>
<meta charset=""utf-8"">
<title>Error</title>
</head>
<body>
<pre>Cannot POST /models/mistralai/Mistral-7B-Instruct-v0.3</pre>
</body>
</html>
",0.0
108,"Erro API HF: 404 - <!DOCTYPE html>
<html lang=""en"">
<head>
<meta charset=""utf-8"">
<title>Error</title>
</head>
<body>
<pre>Cannot POST /models/mistralai/Mistral-7B-Instruct-v0.3</pre>
</body>
</html>
",0.0
109,"Erro API HF: 404 - <!DOCTYPE html>
<html lang=""en"">
<head>
<meta charset=""utf-8"">
<title>Error</title>
</head>
<body>
<pre>Cannot POST /models/mistralai/Mistral-7B-Instruct-v0.3</pre>
</body>
</html>
",0.0
109,"Erro API HF: 404 - <!DOCTYPE html>
<html lang=""en"">
<head>
<meta charset=""utf-8"">
<title>Error</title>
</head>
<body>
<pre>Cannot POST /models/mistralai/Mistral-7B-Instruct-v0.3</pre>
</body>
</html>
",0.0
109,"Erro API HF: 404 - <!DOCTYPE html>
<html lang=""en"">
<head>
<meta charset=""utf-8"">
<title>Error</title>
</head>
<body>
<pre>Cannot POST /models/mistralai/Mistral-7B-Instruct-v0.3</pre>
</body>
</html>
",0.0
110,"Erro API HF: 404 - <!DOCTYPE html>
<html lang=""en"">
<head>
<meta charset=""utf-8"">
<title>Error</title>
</head>
<body>
<pre>Cannot POST /models/mistralai/Mistral-7B-Instruct-v0.3</pre>
</body>
</html>
",0.0
110,"Erro API HF: 404 - <!DOCTYPE html>
<html lang=""en"">
<head>
<meta charset=""utf-8"">
<title>Error</title>
</head>
<body>
<pre>Cannot POST /models/mistralai/Mistral-7B-Instruct-v0.3</pre>
</body>
</html>
",0.0
110,"Erro API HF: 404 - <!DOCTYPE html>
<html lang=""en"">
<head>
<meta charset=""utf-8"">
<title>Error</title>
</head>
<body>
<pre>Cannot POST /models/mistralai/Mistral-7B-Instruct-v0.3</pre>
</body>
</html>
",0.0
111,"Erro API HF: 404 - <!DOCTYPE html>
<html lang=""en"">
<head>
<meta charset=""utf-8"">
<title>Error</title>
</head>
<body>
<pre>Cannot POST /models/mistralai/Mistral-7B-Instruct-v0.3</pre>
</body>
</html>
",0.0
111,"Erro API HF: 404 - <!DOCTYPE html>
<html lang=""en"">
<head>
<meta charset=""utf-8"">
<title>Error</title>
</head>
<body>
<pre>Cannot POST /models/mistralai/Mistral-7B-Instruct-v0.3</pre>
</body>
</html>
",0.0
111,"Erro API HF: 404 - <!DOCTYPE html>
<html lang=""en"">
<head>
<meta charset=""utf-8"">
<title>Error</title>
</head>
<body>
<pre>Cannot POST /models/mistralai/Mistral-7B-Instruct-v0.3</pre>
</body>
</html>
",0.0
112,"Erro API HF: 404 - <!DOCTYPE html>
<html lang=""en"">
<head>
<meta charset=""utf-8"">
<title>Error</title>
</head>
<body>
<pre>Cannot POST /models/mistralai/Mistral-7B-Instruct-v0.3</pre>
</body>
</html>
",0.0
112,"Erro API HF: 404 - <!DOCTYPE html>
<html lang=""en"">
<head>
<meta charset=""utf-8"">
<title>Error</title>
</head>
<body>
<pre>Cannot POST /models/mistralai/Mistral-7B-Instruct-v0.3</pre>
</body>
</html>
",0.0
112,"Erro API HF: 404 - <!DOCTYPE html>
<html lang=""en"">
<head>
<meta charset=""utf-8"">
<title>Error</title>
</head>
<body>
<pre>Cannot POST /models/mistralai/Mistral-7B-Instruct-v0.3</pre>
</body>
</html>
",0.0
113,"Erro API HF: 404 - <!DOCTYPE html>
<html lang=""en"">
<head>
<meta charset=""utf-8"">
<title>Error</title>
</head>
<body>
<pre>Cannot POST /models/mistralai/Mistral-7B-Instruct-v0.3</pre>
</body>
</html>
",0.0
113,"Erro API HF: 404 - <!DOCTYPE html>
<html lang=""en"">
<head>
<meta charset=""utf-8"">
<title>Error</title>
</head>
<body>
<pre>Cannot POST /models/mistralai/Mistral-7B-Instruct-v0.3</pre>
</body>
</html>
",0.0
113,"Erro API HF: 404 - <!DOCTYPE html>
<html lang=""en"">
<head>
<meta charset=""utf-8"">
<title>Error</title>
</head>
<body>
<pre>Cannot POST /models/mistralai/Mistral-7B-Instruct-v0.3</pre>
</body>
</html>
",0.0
114,"Erro API HF: 404 - <!DOCTYPE html>
<html lang=""en"">
<head>
<meta charset=""utf-8"">
<title>Error</title>
</head>
<body>
<pre>Cannot POST /models/mistralai/Mistral-7B-Instruct-v0.3</pre>
</body>
</html>
",0.0
114,"Erro API HF: 404 - <!DOCTYPE html>
<html lang=""en"">
<head>
<meta charset=""utf-8"">
<title>Error</title>
</head>
<body>
<pre>Cannot POST /models/mistralai/Mistral-7B-Instruct-v0.3</pre>
</body>
</html>
",0.0
114,"Erro API HF: 404 - <!DOCTYPE html>
<html lang=""en"">
<head>
<meta charset=""utf-8"">
<title>Error</title>
</head>
<body>
<pre>Cannot POST /models/mistralai/Mistral-7B-Instruct-v0.3</pre>
</body>
</html>
",0.0
115,"Erro API HF: 404 - <!DOCTYPE html>
<html lang=""en"">
<head>
<meta charset=""utf-8"">
<title>Error</title>
</head>
<body>
<pre>Cannot POST /models/mistralai/Mistral-7B-Instruct-v0.3</pre>
</body>
</html>
",0.0
115,"Erro API HF: 404 - <!DOCTYPE html>
<html lang=""en"">
<head>
<meta charset=""utf-8"">
<title>Error</title>
</head>
<body>
<pre>Cannot POST /models/mistralai/Mistral-7B-Instruct-v0.3</pre>
</body>
</html>
",0.0
